DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 05월 27일,"1,327.90","1,331.23","1,325.15","1,326.52",-0.16%
2019년 05월 24일,"1,330.62","1,333.27","1,326.70","1,328.60",-0.12%
2019년 05월 23일,"1,328.32","1,332.66","1,323.70","1,330.26",0.17%
2019년 05월 22일,"1,331.26","1,335.20","1,326.03","1,328.02",-0.24%
2019년 05월 21일,"1,335.37","1,335.97","1,329.78","1,331.20",-0.25%
2019년 05월 20일,"1,332.72","1,335.13","1,329.48","1,334.58",0.10%
2019년 05월 17일,"1,332.12","1,337.46","1,329.64","1,333.26",0.07%
2019년 05월 16일,"1,329.44","1,337.92","1,328.47","1,332.31",0.22%
2019년 05월 15일,"1,331.79","1,336.26","1,328.48","1,329.44",-0.18%
2019년 05월 14일,"1,334.46","1,338.06","1,329.11","1,331.85",-0.18%
2019년 05월 13일,"1,320.93","1,340.57","1,319.76","1,334.29",1.06%
2019년 05월 10일,"1,324.30","1,330.00","1,318.17","1,320.34",-0.25%
2019년 05월 09일,"1,313.06","1,333.14","1,311.63","1,323.59",0.82%
2019년 05월 08일,"1,312.88","1,315.84","1,309.12","1,312.88",0.07%
2019년 05월 07일,"1,308.24","1,315.12","1,306.60","1,311.97",0.20%
2019년 05월 06일,"1,304.80","1,314.31","1,299.79","1,309.34",0.39%
2019년 05월 03일,"1,304.26","1,310.13","1,302.28","1,304.28",-0.02%
2019년 05월 02일,"1,305.10","1,307.60","1,301.76","1,304.60",-0.04%
2019년 05월 01일,"1,305.93","1,309.23","1,302.47","1,305.15",-0.04%
2019년 04월 30일,"1,297.44","1,310.31","1,296.37","1,305.70",0.64%
2019년 04월 29일,"1,292.64","1,298.89","1,290.39","1,297.44",0.42%
2019년 04월 26일,"1,291.21","1,295.62","1,288.53","1,292.06",0.06%
2019년 04월 25일,"1,289.45","1,299.17","1,289.03","1,291.33",0.15%
2019년 04월 24일,"1,283.47","1,297.35","1,282.31","1,289.45",0.46%
2019년 04월 23일,"1,284.47","1,287.83","1,280.76","1,283.54",-0.09%
2019년 04월 22일,"1,278.27","1,286.91","1,276.69","1,284.70",0.49%
2019년 04월 19일,"1,277.71","1,280.32","1,277.26","1,278.48",0.11%
2019년 04월 18일,"1,278.57","1,286.01","1,275.88","1,277.09",-0.16%
2019년 04월 17일,"1,283.60","1,287.54","1,278.56","1,279.08",-0.34%
2019년 04월 16일,"1,283.11","1,285.95","1,281.63","1,283.43",-0.02%
