,count,mean,std,min,25%,50%,75%,max
MGT2TBIndex,2981.0,1.325110540044919,0.06055784738876872,1.2388293900703042,1.2763498831590216,1.3001121605014463,1.3799908532023644,1.4823752748043706
Siltronic_close260,2981.0,0.07796011034812404,0.3640096677821737,-0.9603166963559673,0.0,0.0,0.0,1.4775163371108846
MGT2MAIndex,2981.0,1.3184481081246961,0.06604905908001565,1.194770603638958,1.280264242911884,1.3007513071913368,1.377654395188279,1.4640696944297236
MGT2WHIndex,2981.0,1.2290184318220236,0.07833910078351758,1.118925722115358,1.1603151246273202,1.1980570519878715,1.3031747954457111,1.4107101249721878
KOEAPYIndex120,2981.0,-0.017077451544543466,0.399202963395788,-1.1002315561502762,-0.2621321339019263,-0.05446413887357482,0.19874125832015233,1.356858364652682
KOEAPYIndex260,2981.0,-0.017077451544543466,0.399202963395788,-1.1002315561502762,-0.2621321339019263,-0.05446413887357482,0.19874125832015233,1.356858364652682
KOFDITIndex260,2981.0,0.06618835482482907,0.45226666420020867,-1.0351462510303229,-0.2717800631483662,0.02969989005614515,0.3595494517733986,1.3325570305529748
KOFDITIndex120,2981.0,0.06618835482482907,0.45226666420020867,-1.0351462510303229,-0.2717800631483662,0.02969989005614515,0.3595494517733986,1.3325570305529748
MTIBCHNGIndex,2981.0,0.23753388964024266,0.5543460416429422,-2.0065031063085907,0.1,0.33454571380576376,0.5435561504435187,1.3
SKhynix_close260,2981.0,0.0554135822349245,0.3892245674594419,-1.4965181263067713,-0.15991757802266804,0.07904720720342517,0.2916590123570941,1.274055659566347
NAPMPRICIndex260,2981.0,0.004560903236588549,0.3707536103546319,-1.546652704657209,-0.15729741933894337,0.04630392802198724,0.20294376295981476,1.268151358844067
NAPMPRICIndex120,2981.0,0.004560903236588549,0.3707536103546319,-1.546652704657209,-0.15729741933894337,0.04630392802198724,0.20294376295981476,1.268151358844067
Sumco_close120,2981.0,0.04727644919768313,0.23402891173636836,-0.7509147244888519,0.0,0.0,0.05193778579873776,1.2630183661615293
AMD_close260,2981.0,-0.03651612388961639,0.4997930482908446,-1.0904203177535214,-0.37619472580805113,-0.10731664315037537,0.2676239335340582,1.258634763656857
KOCPIMOMIndex,2981.0,0.18674596381781636,0.32431140920806023,-0.7119765943661825,-0.04928143356865195,0.16036629555888687,0.4073895453434864,1.1989056095124913
Nvidia_close260,2981.0,0.15705996053109503,0.43069174443068886,-1.367759492834287,-0.05430909684374985,0.19776853847359277,0.43109681964735325,1.1979210313831121
EHCAKRYIndex120,2981.0,0.0896241478118486,0.4045639680873772,-0.7499269421331313,-0.1812610929082905,0.0322669389571929,0.33411609521309393,1.1806197791561177
EHCAKRYIndex260,2981.0,0.0896241478118486,0.4045639680873772,-0.7499269421331313,-0.1812610929082905,0.0322669389571929,0.33411609521309393,1.1806197791561177
FDIDFDMOIndex,2981.0,0.13827925693298862,0.22102711451430435,-0.6554446266382264,0.08998958575557897,0.1,0.26534817586215653,1.1225913842324193
SZCOMPIndex260,2981.0,0.090211368385336,0.36667895892346747,-1.121924206065418,-0.09902366977074628,0.05009231172937323,0.258770754983658,1.1221538308666874
SKCIMOMIndex,2981.0,0.18587623219312746,0.20678355417353125,-0.40070045134583354,0.06586096252478704,0.17237220064877182,0.2760869354492395,1.102427776166037
Micron_close260,2981.0,0.0672673775714561,0.4624519470694775,-1.0936433343449226,-0.29012407610733293,0.06157395893402917,0.4745997129948285,1.0997811958730914
