DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2018년 06월 04일,9.7865,9.7964,9.7424,9.748,-0.38%
2018년 06월 01일,9.9319,9.9434,9.7814,9.7849,-1.46%
2018년 05월 31일,9.8879,9.9629,9.876,9.9301,0.40%
2018년 05월 30일,9.9718,10.0172,9.8864,9.8902,-0.80%
2018년 05월 29일,9.8287,10.0412,9.8113,9.9698,1.46%
2018년 05월 28일,9.8564,9.8564,9.7736,9.8268,-0.31%
2018년 05월 25일,9.9007,9.9109,9.8112,9.8576,-0.43%
2018년 05월 24일,9.7866,9.9633,9.7752,9.9006,1.17%
2018년 05월 23일,9.7073,9.889,9.6982,9.786,0.81%
2018년 05월 22일,9.7037,9.7385,9.6674,9.7078,0.04%
2018년 05월 21일,9.7693,9.7814,9.7034,9.7042,-0.61%
2018년 05월 18일,9.7739,9.7966,9.7115,9.7636,-0.09%
2018년 05월 17일,9.7614,9.8061,9.7538,9.7728,0.10%
2018년 05월 16일,9.7962,9.8466,9.7606,9.763,-0.32%
2018년 05월 15일,9.7661,9.8177,9.7418,9.7944,0.29%
2018년 05월 14일,9.76,9.784,9.739,9.766,0.03%
2018년 05월 11일,9.7425,9.7973,9.7311,9.7627,0.21%
2018년 05월 10일,9.8372,9.8458,9.7255,9.7426,-0.94%
2018년 05월 09일,9.8816,9.9141,9.8107,9.8354,-0.49%
2018년 05월 08일,9.901,9.9216,9.8671,9.8836,-0.16%
2018년 05월 07일,9.8429,9.912,9.8309,9.8999,0.58%
2018년 05월 04일,9.8499,9.9093,9.8355,9.843,-0.07%
2018년 05월 03일,9.8307,9.9149,9.7901,9.8499,0.20%
2018년 05월 02일,9.7709,9.8324,9.7688,9.8307,0.61%
2018년 05월 01일,9.7903,9.8038,9.7625,9.7709,-0.20%
2018년 04월 30일,9.7957,9.8115,9.7654,9.7906,-0.02%
2018년 04월 27일,9.8596,9.8908,9.7661,9.7928,-0.68%
2018년 04월 26일,9.8911,9.9019,9.8501,9.8596,-0.31%
2018년 04월 25일,9.9001,9.9374,9.872,9.8901,-0.10%
2018년 04월 24일,9.9458,9.952,9.8559,9.8996,-0.46%
2018년 04월 23일,9.9499,9.9925,9.9034,9.9457,-0.03%
2018년 04월 20일,9.939,9.9753,9.9019,9.9484,0.09%
2018년 04월 19일,9.9336,9.9596,9.8642,9.9391,0.07%
2018년 04월 18일,9.9716,9.9763,9.9137,9.9326,-0.40%
2018년 04월 17일,9.9957,10.0108,9.9601,9.9726,-0.23%
2018년 04월 16일,9.9868,10.0355,9.9573,9.9952,0.12%
2018년 04월 13일,9.9784,10.002,9.9176,9.9835,0.05%
2018년 04월 12일,9.9903,10.0444,9.9688,9.9785,-0.11%
2018년 04월 11일,9.9324,10.0197,9.9274,9.9894,0.57%
2018년 04월 10일,10.0193,10.0596,9.9157,9.9325,-0.87%
2018년 04월 09일,10.0145,10.0358,9.9495,10.0193,0.06%
2018년 04월 06일,9.897,10.0459,9.8904,10.0136,1.19%
2018년 04월 05일,9.9108,9.969,9.8802,9.8959,-0.15%
2018년 04월 04일,9.8953,10.0574,9.8872,9.9108,0.15%
2018년 04월 03일,9.983,10.0259,9.8898,9.8958,-0.87%
2018년 04월 02일,9.9767,10.0212,9.9,9.9831,-0.03%
2018년 03월 30일,9.989,10.041,9.9764,9.986,-0.03%
2018년 03월 29일,9.9631,10.0301,9.9572,9.9885,0.26%
2018년 03월 28일,10.2048,10.2102,9.9429,9.9626,-2.38%
