,date,SPXIndex,MSRUITIndex,MSRUMATIndex,MXWO0ITIndex,MXWO0MTIndex,MXUS0ITIndex,MXEF0ITIndex,MXEF0MTIndex,NU722094Index,NU721934Index,CL1Comdty,LMAHDS03Comdty,LMCADS03Comdty,XAUCurncy,LMNIDS03Comdty,CCMPIndex,NKYIndex,CINDIndex,IXKIndex,XCIIndex,SOXIndex,MSERIndex,NMDPIndex,SZCOMPIndex,KOSPIIndex
2980,1992-10-08,407.75,,,,,,,,,,21.99,1212,2305,352.5,6705,573.88,17335.51,609.57,,115.31,,,,267.16,518.43
2981,1992-10-09,402.66,,,,,,,,,,22.37,1212.5,2296,352.5,6660,570.52,17059.78,605.24,,113.7,,,,268.42,524.27
10691,1992-10-10,,,,,,,,,,,,,,,,,,,,,,,,,525.77
2982,1992-10-12,407.44,,,,,,,,,,22.3,1192.5,2291,347.5,6620,573.84,17302.01,609.08,,114.44,,,,268.95,514.9
2983,1992-10-13,409.3,,,,,,,,,,22.09,1186,2290,344.5,6405,576.44,17490.67,612.22,,114.94,,,,265.21,514.39
2984,1992-10-14,409.37,,,,,,,,,,22.08,1195,2283,345.5,6340,576.22,17344.03,612.18,,114.54,,,,259.43,524.96
2985,1992-10-15,409.6,,,,,,,,,,22.33,1197,2272,343,6358,578.64,17628.49,616.25,,112.97,,,,262.93,521.85
2986,1992-10-16,411.73,,,,,,,,,,22.28,1186,2270,344,6235,582.61,17369.81,622.03,,113.27,,,,261.06,518.91
10692,1992-10-17,,,,,,,,,,,,,,,,,,,,,,,,,526.45
2987,1992-10-19,414.98,,,,,,,,,,22.14,1173.5,2256,344,6160,590.67,16903.81,634,,114.2,,,,251.16,539.7
2988,1992-10-20,415.48,,,,,,,,,,21.86,1174,2272,345.5,6080,592.7,16987.66,636.22,,114.12,,,,253.44,540.45
2989,1992-10-21,415.67,,,,,,,,,,21.61,1191.5,2286,345.5,6135,597.15,17141.52,641.36,,115,,,,245.29,559.71
2990,1992-10-22,414.9,,,,,,,,,,21.35,1201.5,2278,344.5,6145,597.12,17013.04,641.79,,114.5,,,,242.18,568.97
2991,1992-10-23,414.1,,,,,,,,,,21.19,1189.5,2263,344.5,6245,597.3,17117.65,641.59,,114.57,,,,236.18,571.34
10693,1992-10-24,,,,,,,,,,,,,,,,,,,,,,,,,557.86
2992,1992-10-26,418.16,,,,,,,,,,21.27,1187,2255,343,6170,598.92,17011.33,643.95,,115.44,,,,216.65,582.74
2993,1992-10-27,418.49,,,,,,,,,,21.02,1183.5,2272,340,6220,596.95,17185.26,640.65,,113.75,,,,210.32,584.1
2994,1992-10-28,420.13,,,,,,,,,,21.12,1169.5,2286,340,6195,601.39,17068.41,645.78,,115.47,,,,215.69,585.34
2995,1992-10-29,420.86,,,,,,,,,,20.71,1175,2311,341,6140,605.82,16937.71,652.03,,115.57,,,,226.74,605.78
2996,1992-10-30,418.68,,,,,,,,,,20.62,1170,2298,341,6170,605.17,16767.4,650.83,,115.02,,,,231.66,610.09
10694,1992-10-31,,,,,,,,,,,,,,,,,,,,,,,,,615.58
2997,1992-11-02,422.75,,,,,,,,,,20.77,1170.5,2286,341,6065,607.57,16853.36,654.1,,116.45,,,,217.83,621.97
2998,1992-11-03,419.92,,,,,,,,,,20.7,1167.5,2259,340.5,5905,604.58,,650.54,,115.83,,,,223.15,605.52
2999,1992-11-04,417.11,,,,,,,,,,20.33,1171,2264,339,5945,605.52,17065.2,650.3,,116.31,,,,218.42,619
3000,1992-11-05,418.34,,,,,,,,,,20.64,1168,2247,340,5882,614.08,17031.59,660.49,,117.34,,,,216.93,631.31
3001,1992-11-06,417.58,,,,,,,,,,20.3,1164,2211,337,5670,616.82,16869.81,665.16,,117.59,,,,214.68,644.94
10695,1992-11-07,,,,,,,,,,,,,,,,,,,,,,,,,664.35
3002,1992-11-09,418.59,,,,,,,,,,20.62,1160.5,2181,336.5,5501,622.05,16417.05,671.21,,117.68,,,,212.73,686.81
3003,1992-11-10,418.62,,,,,,,,,,20.47,1165,2162,332,5650,627.76,16437.11,679.34,,118.31,,,,210.9,676.86
3004,1992-11-11,422.2,,,,,,,,,,20.47,1182,2176,333.5,5620,634.92,16318.15,688.35,,118.08,,,,205.14,658.96
3005,1992-11-12,422.87,,,,,,,,,,20.21,1186,2191,334.5,5575,634.37,16376.93,687.01,,116.95,,,,198.85,636.99
3006,1992-11-13,422.43,,,,,,,,,,20.08,1170,2162,336.5,5470,637.16,16330.79,689.45,,117.2,,,,189.87,652.97
10696,1992-11-14,,,,,,,,,,,,,,,,,,,,,,,,,632.28
3007,1992-11-16,420.68,,,,,,,,,,20.37,1171,2157,337,5400,634.01,16162.99,686.58,,116.46,,,,170.82,616.64
3008,1992-11-17,419.27,,,,,,,,,,20.26,1171.5,2166,336,5355,627.07,15993.48,675.67,,114.16,,,,167.25,631.42
3009,1992-11-18,422.85,,,,,,,,,,20.19,1185.5,2157.1,337,5440,634.86,16778.84,685.73,,115.72,,,,176.82,621.25
3010,1992-11-19,423.61,,,,,,,,,,20.54,1180,2143.8,336,5455,638.57,16871.31,690.45,,115.5,,,,178.76,632.49
3011,1992-11-20,426.65,,,,,,,,,,20.4,1185.5,2145.9,338,5450,642.6,17033.6,694.73,,117.01,,,,172.3,635.55
10697,1992-11-21,,,,,,,,,,,,,,,,,,,,,,,,,654.08
3012,1992-11-23,425.12,,,,,,,,,,20.2,1184.5,2159.2,336,5530,638.65,,688.75,,115.29,,,,164.8,669.46
3013,1992-11-24,427.59,,,,,,,,,,20.22,1209.5,2160.4,336,5540,645.94,17096.09,697.47,,117.43,,,,169.98,655.05
3014,1992-11-25,429.19,,,,,,,,,,20.27,1199,2166.3,336,5529,648.33,17302.01,698.95,,117.77,,,,175.84,652.47
3015,1992-11-26,,,,,,,,,,,,1211,2177.2,336.5,5710,,17479.04,,,,,,,195.73,660.94
3016,1992-11-27,430.16,,,,,,,,,,,1215.5,2192.9,335.5,5991,649.49,17470.61,700.72,,118.65,,,,194.43,650.85
10698,1992-11-28,,,,,,,,,,,,,,,,,,,,,,,,,652.94
3017,1992-11-30,431.35,,,,,,,,,,19.89,1226.5,2226.7,336,5880,652.73,17683.65,704.69,,120.74,,,,217.65,663.36
3018,1992-12-01,430.78,,,,,,,,,,19.51,1216.5,2207.8,336.5,5632,653.95,17313.04,707.04,,120.56,,,,224.16,659.93
3019,1992-12-02,429.89,,,,,,,,,,19.45,1220.5,2189.2,337.5,5655,652.91,17393.68,705.06,,119.78,,,,218.03,650.2
3020,1992-12-03,429.91,,,,,,,,,,19.08,1207.5,2183.8,337,5650,656.36,17260.08,708.85,,120.4,,,,211.86,638.93
3021,1992-12-04,432.06,,,,,,,,,,18.94,1202.5,2183.3,337,5645,661.6,17295.69,714.33,,121.09,,,,222.11,635.28
10699,1992-12-05,,,,,,,,,,,,,,,,,,,,,,,,,623.25
3022,1992-12-07,435.31,,,,,,,,,,19.18,1199.5,2220,336.5,5690,666.53,17207.12,721.05,,121.72,,,,234.79,616.21
3023,1992-12-08,436.99,,,,,,,,,,18.84,1206.5,2210.4,337,5950,667.12,17281.85,720.8,,121.37,,,,232.21,625.61
3024,1992-12-09,435.65,,,,,,,,,,18.84,1207,2216.7,335.5,5655,663.92,17406.22,715.92,,120.33,,,,223.78,620.74
3025,1992-12-10,434.64,,,,,,,,,,19.28,1216.5,2214.5,335.5,5765,658.93,17501.3,709.06,,118.85,,,,217.12,642.03
3026,1992-12-11,433.73,,,,,,,,,,19.09,1217.5,2204,336.5,5756,655.79,17441.02,703.96,,117.21,,,,222.48,645.7
10700,1992-12-12,,,,,,,,,,,,,,,,,,,,,,,,,647.28
3027,1992-12-14,432.84,,,,,,,,,,19.09,1225,2215.3,337,5810,654.73,17289.97,702.67,,117.4,,,,220.43,651.23
3028,1992-12-15,432.57,,,,,,,,,,18.95,1223,2218.6,336.5,5850,650.75,17480.74,696.43,,113.69,,,,215.26,650.21
3029,1992-12-16,431.52,,,,,,,,,,19.41,1232,2232.9,339,5796,649.63,17268.71,695.37,,112.77,,,,220.94,654.09
3030,1992-12-17,435.43,,,,,,,,,,19.7,1242.5,2201.8,340,5830,658.46,17437.91,707.22,,115.69,,,,218.52,660.6
3031,1992-12-18,441.28,,,,,,,,,,19.83,1242.5,2214.9,339,5830,661.29,17680.74,710.05,,115.49,,,,222.86,
10701,1992-12-19,,,,,,,,,,,,,,,,,,,,,,,,,663.31
3032,1992-12-21,440.7,,,,,,,,,,19.98,1248.5,2247.3,335,5820,662.46,17645.44,710.77,,114.88,,,,226.83,653.46
3033,1992-12-22,440.31,,,,,,,,,,19.84,1256,2259.9,334.5,5945,660.84,17690.67,706.63,,115.08,,,,223.31,657.01
3034,1992-12-23,439.03,,,,,,,,,,19.95,1250.5,2252,334.5,5896,662.96,,708.96,,114.93,,,,221.19,670.43
3035,1992-12-24,439.77,,,,,,,,,,,1254.5,2254.6,334.5,5905,665.7,17648.85,711.96,,115.85,,,,225.01,675.36
10119,1992-12-25,,,,,,,,,,,,,,,,,17557.04,712.06,,,,,,225.52,
10702,1992-12-26,,,,,,,,,,,,,,,,,,,,,,,,,687.93
3036,1992-12-28,439.15,,,,,,,,,,19.82,,,335.5,,666.25,17188.62,713.34,,116.21,,,,226.05,678.44
3037,1992-12-29,437.98,,,,,,,,,,19.64,1257.5,2274.6,334.5,5905,669.01,17285.64,715.51,,115.28,,,,229.85,
3038,1992-12-30,438.82,,,,,,,,,,19.59,1261.5,2288.7,334.5,5880,671.85,16924.95,718.39,,115.24,,,,238.3,
3039,1992-12-31,435.71,,,,,,,,,,19.5,1256,2291.2,,5980,676.95,,724.94,,115.2,,,,241.21,
3040,1993-01-04,435.38,,,,,,,,,,19.04,1253.5,2296.9,330.5,6165,671.8,16994.08,719.34,,114.25,,,,251.63,697.41
3041,1993-01-05,434.34,,,,,,,,,,19.26,1258,2385.4,330.5,6395,674.34,16842.58,722.43,,116.4,,,,251.32,690.79
3042,1993-01-06,434.52,,,,,,,,,,19.04,1230.5,2350.1,331,6298,681.85,16782.88,732.47,,119.73,,,,254.5,688.4
3043,1993-01-07,430.73,,,,,,,,,,18.95,1223,2374.8,330.5,6280,678.21,16780.98,728.3,,118.48,,,,257.94,696.95
3044,1993-01-08,429.05,,,,,,,,,,18.88,1211.5,2388.9,330.5,6178,677.21,16634.69,727.07,,118.11,,,,263.3,704.5
10703,1993-01-09,,,,,,,,,,,,,,,,,,,,,,,,,709.77
3045,1993-01-11,430.95,,,,,,,,,,18.78,1228,2336.6,330,6229,682.4,16589.55,734.56,,120.93,,,,272.68,708.42
3046,1993-01-12,431.04,,,,,,,,,,18.38,1246,2192.2,331,6030,679.45,16681.05,730,,120.29,,,,266.04,703.05
3047,1993-01-13,433.03,,,,,,,,,,18.5,1242.5,2232.4,329.5,6055,686.78,16517.91,738.41,,121.8,,,,270.1,705.93
3048,1993-01-14,435.94,,,,,,,,,,18.7,1244.5,2203.3,329.5,5910,695.7,16515.6,748.61,,125.86,,,,267.19,692.23
3049,1993-01-15,437.15,,,,,,,,,,18.87,1235,2200,329.5,5895,697.15,,747.99,,124.22,,,,269.96,693.29
10704,1993-01-16,,,,,,,,,,,,,,,,,,,,,,,,,691.31
3050,1993-01-18,436.84,,,,,,,,,,18.87,1227.5,2216.4,330,5805,698.13,16617.24,747.04,,124.7,,,,276.94,693.23
3051,1993-01-19,435.13,,,,,,,,,,18.58,1232.5,2224.8,331,5820,696.81,16798.64,743.28,,123.73,,,,280.45,699.32
3052,1993-01-20,433.37,,,,,,,,,,18.33,1226.5,2216.6,330.5,5870,697.44,16510.18,744.16,,122.48,,,,,700
3053,1993-01-21,435.49,,,,,,,,,,18.33,1220,2214.2,331.5,5960,700.77,16538.68,749.6,,123.05,,,,,699.92
3054,1993-01-22,436.11,,,,,,,,,,18.83,1214,2232,330.5,5865,701.63,16336.81,751.12,,123.75,,,,,
3055,1993-01-25,440.01,,,,,,,,,,19.66,1212.5,2242.6,330.5,5805,706.95,16287.45,757.05,,124.45,,,,,707.61
3056,1993-01-26,439.95,,,,,,,,,,19.64,1210,2243,332.5,5870,707.16,16492.63,756.63,,124.39,,,,,702.5
3057,1993-01-27,438.11,,,,,,,,,,19.66,1214.5,2242.6,330.6,5875,697.9,16509.68,743.86,,122.77,,,,,694.57
3058,1993-01-28,438.66,,,,,,,,,,20.41,1225.5,2263.3,329.95,5910,694.67,17063.41,740.24,,121.73,,,,,687.79
3059,1993-01-29,438.78,,,,,,,,,,20.26,1226.5,2211.8,332.5,5881,696.34,17023.78,743.16,,121.64,,,,,679.96
10705,1993-01-30,,,,,,,,,,,,,,,,,,,,,,,,,670.56
3060,1993-02-01,442.52,,,,,,,,,,20.31,1216,2216.4,329.75,5865,701.77,17133.64,749.11,,124,,,,309.97,663.57
3061,1993-02-02,442.56,,,,,,,,,,20,1215,2214.4,331.5,5825,705.12,17186.31,751.13,,124,,,,323.05,666.18
3062,1993-02-03,447.2,,,,,,,,,,19.93,1210,2235,330,5850,708.67,17222.03,753.9,,123.02,,,,318.65,678.34
3063,1993-02-04,449.56,,,,,,,,,,20.3,1220,2235,329.5,5860,708.85,17190.63,752.53,,122.03,,,,325.17,684.04
3064,1993-02-05,448.93,,,,,,,,,,20.21,1224,2237.1,329.5,5945,700.98,17332.9,741.84,,121.69,,,,330.49,677.31
10706,1993-02-06,,,,,,,,,,,,,,,,,,,,,,,,,671.42
3065,1993-02-08,447.85,,,,,,,,,,20.08,1240.5,,329.5,6047,698.44,17281.73,736.86,,121.2,,,,347.93,672.18
3066,1993-02-09,445.33,,,,,,,,,,20.05,1234.5,2256.9,329.5,6165,692.21,17022.27,728.76,,121.4,,,,342.05,675.33
3067,1993-02-10,446.23,,,,,,,,,,20.18,1240,,331.5,6065,695.02,17089.9,732.38,,122.45,,,,336.91,677.25
3068,1993-02-11,447.66,,,,,,,,,,20.26,1235,2229.2,334,6085,695.88,,732.91,,121.61,,,,331.29,681.6
3069,1993-02-12,444.58,,,,,,,,,,19.98,1234,2213.4,331,6139,690.54,16851.51,725.52,,120.32,,,,322.24,683.4
10707,1993-02-13,,,,,,,,,,,,,,,,,,,,,,,,,677.33
3070,1993-02-15,,,,,,,,,,,,1220,2229.4,330,6180,,17117.99,,,,,,,333.52,677.52
3071,1993-02-16,433.91,,,,,,,,,,19.53,1219.5,2247.9,331,6180,665.39,16916.32,694.71,,116.42,,,,324.09,672.22
3072,1993-02-17,433.3,,,,,,,,,,19.33,1221,2224.5,332,6265,659.43,17009.63,688.07,,118.28,,,,334.16,665.12
3073,1993-02-18,431.9,,,,,,,,,,19.42,1226.5,2267.9,331.5,6250,662.45,16982.14,693.9,,119.92,,,,338.36,653.91
3074,1993-02-19,434.22,,,,,,,,,,19.62,1229.5,2246.5,332.5,6255,663.61,17010.03,692.82,,121.67,,,,357.17,654.52
10708,1993-02-20,,,,,,,,,,,,,,,,,,,,,,,,,652.07
3075,1993-02-22,435.24,,,,,,,,,,20.02,1225,2234.6,331,6268,652.42,16820.61,675.67,,120.43,,,,359.44,674.71
3076,1993-02-23,434.8,,,,,,,,,,20.48,1219.5,2225.3,331.5,6230,651.4,16863.15,673.96,,120.62,,,,356.21,676.62
3077,1993-02-24,440.87,,,,,,,,,,20.53,1217.5,2199.6,331.5,6275,662.46,16798.94,689.05,,123.12,,,,339.33,672.81
3078,1993-02-25,442.34,,,,,,,,,,20.61,1216,2179.3,331,6231,667.07,16907.39,694.11,,125.41,,,,354.1,655.61
3079,1993-02-26,443.38,,,,,,,,,,20.6,1210,2158.6,329.5,6095,670.77,16953.35,697.2,,124.33,,,,347.47,644.7
10709,1993-02-27,,,,,,,,,,,,,,,,,,,,,,,,,642.96
3080,1993-03-01,442.01,,,,,,,,,,20.6,1207.5,2158.2,330,6011,669.51,16879.6,694.51,,122.8,,,,346.57,
3081,1993-03-02,447.9,,,,,,,,,,20.47,1186.5,,330.5,5915,677.72,16864.25,704.71,,125.41,,,,337.75,633.73
3082,1993-03-03,449.26,,,,,,,,,,20.48,1183.5,2142.6,331,5965,683.92,16853.92,711.63,,126.53,,,,327.37,632.99
3083,1993-03-04,447.34,,,,,,,,,,21.07,1186,2162,328.5,5921,680.73,16759.61,706.82,,125.56,,,,329.21,622.22
3084,1993-03-05,446.11,,,,,,,,,,20.93,1182.5,2128.8,330.35,5945,681.37,16817.7,708.11,,125.76,,,,308.02,615.57
10710,1993-03-06,,,,,,,,,,,,,,,,,,,,,,,,,605.93
3085,1993-03-08,454.71,,,,,,,,,,20.71,1176.5,2160.5,329,6050,687.23,17686.47,714.14,,128.2,,,,318.87,625.62
3086,1993-03-09,454.4,,,,,,,,,,20.68,1180,2162.7,328,6080,688.96,17848.3,715.22,,128.67,,,,315.88,626.23
3087,1993-03-10,456.33,,,,,,,,,,20.39,1168.5,2153.2,328,6060,692.87,17858.63,718.88,,128.81,,,,336.36,
3088,1993-03-11,453.72,,,,,,,,,,20.13,1169.5,2170.7,329,6045,694.28,17904.79,721.34,,129.04,,,,337.06,615.26
3089,1993-03-12,449.83,,,,,,,,,,20.29,1176.5,2207.6,329,6040,692.78,18037.52,721.07,,130.36,,,,343.77,628.16
10711,1993-03-13,,,,,,,,,,,,,,,,,,,,,,,,,634.84
3090,1993-03-15,451.43,,,,,,,,,,20.16,1169.5,2186.5,330,5985,695.21,18086.18,724.16,,130.05,,,,326.16,645.73
3091,1993-03-16,451.37,,,,,,,,,,20.13,1164.5,2173.1,330.5,5911,695.47,17968.3,723.34,,130.25,,,,326.09,637.87
3092,1993-03-17,448.31,,,,,,,,,,20.17,1166,2170.4,331,5965,687.4,18173.37,711.42,,127.33,,,,315.28,663.05
3093,1993-03-18,451.89,,,,,,,,,,20.29,1169,2224.4,332,5972,687.41,18727.9,710.55,,127.52,,,,318.53,666.39
3094,1993-03-19,450.18,,,,,,,,,,20.08,1172,2194.8,333,5992,682.72,18537.17,702.64,,125.65,,,,318.79,668.63
10712,1993-03-20,,,,,,,,,,,,,,,,,,,,,,,,,668.75
3095,1993-03-22,448.88,,,,,,,,,,19.52,1191,2207.8,334,6230,676.62,18784.39,694.53,,124.31,,,,305.14,658.75
3096,1993-03-23,448.76,,,,,,,,,,20.03,1176,2198.8,333.5,6110,675.04,18491.62,692.97,,124.97,,,,304.29,666.95
3097,1993-03-24,448.07,,,,,,,,,,20.24,1174,2197.5,332.5,6082,674.36,18450.69,692.92,,124.35,,,,293.96,666.66
3098,1993-03-25,450.88,,,,,,,,,,20.41,1171,2179.1,334,6120,681.01,18764.92,702.61,,126.14,,,,312.57,662.69
3099,1993-03-26,447.78,,,,,,,,,,20.41,1165,2163.1,334,6135,681.54,18788.7,702.43,,125.39,,,,313.42,659.02
10713,1993-03-27,,,,,,,,,,,,,,,,,,,,,,,,,656.48
3100,1993-03-29,450.77,,,,,,,,,,20.29,1164,2159.3,333.5,6075,680.76,19048.38,701.56,,125.28,,,,308.53,653.21
3101,1993-03-30,451.97,,,,,,,,,,20.28,1153,2168.2,337,6099,686.25,18963.16,708.14,,126.57,,,,313.97,665.02
3102,1993-03-31,451.67,,,,,,,,,,20.44,1145.5,2167.6,339,6170,690.13,18591.45,713.55,,127,,,,315.37,666.75
3103,1993-04-01,450.3,,,,,,,,,,20.52,1149,2183.2,338,6135,686.64,19099.09,708.32,,126.46,,,,314.24,665.61
3104,1993-04-02,441.39,,,,,,,,,,20.65,1150.5,2146.4,342,6160,669.85,19446.94,688.87,,123.22,,,,310.16,681.37
10714,1993-04-03,,,,,,,,,,,,,,,,,,,,,,,,,689.24
3105,1993-04-05,442.29,,,,,,,,,,20.62,1142.5,2142.8,340.5,6185,670.71,19759.46,690.68,,124.62,,,,305.23,
3106,1993-04-06,441.16,,,,,,,,,,20.3,1128,2096.2,340,6070,664.14,19486.8,682.35,,124.04,,,,307.4,697.11
3107,1993-04-07,442.73,,,,,,,,,,20.37,1126,2035.9,338.5,6085,668.88,19829.23,687.09,,126.08,,,,316.1,699.49
3108,1993-04-08,441.84,,,,,,,,,,20.22,1135.5,2043.2,338.5,6062,666.33,19967.27,681.82,,124.91,,,,326.07,695.07
3109,1993-04-09,,,,,,,,,,,,,,,,,19892.18,,,,,,,324.19,702.93
10715,1993-04-10,,,,,,,,,,,,,,,,,,,,,,,,,708.33
3110,1993-04-12,448.37,,,,,,,,,,20.46,,,,,673.12,19882.14,687.86,,126.8,,,,335.53,720.96
3111,1993-04-13,449.22,,,,,,,,,,20.46,1139,2053.8,338.5,6052,673.83,20740.29,687.48,,124.99,,,,337.96,720.52
3112,1993-04-14,448.66,,,,,,,,,,20.4,1149,1999.3,341.5,6028,673.94,20533.38,688.71,,125.66,,,,335.54,704.92
3113,1993-04-15,448.4,,,,,,,,,,20.22,1134,1985.1,340.5,5844,670.32,20675.84,683.58,,124.3,,,,336.35,716.76
3114,1993-04-16,448.94,,,,,,,,,,20.14,1132,1868,340,5896,666.78,20297.86,678.47,,123.36,,,,339.81,706.86
10716,1993-04-17,,,,,,,,,,,,,,,,,,,,,,,,,712.3
3115,1993-04-19,447.46,,,,,,,,,,19.99,1123.5,1914.1,342,5900,663.03,20112.34,673.78,,121.51,,,,334.02,725.76
3116,1993-04-20,445.1,,,,,,,,,,19.84,1116.5,1829.2,342,5920,661.97,19828.43,675.96,,122.92,,,,332.21,721.66
3117,1993-04-21,443.63,,,,,,,,,,20.37,1127.5,,340.5,6005,664.04,19773.01,679.18,,122.72,,,,332.39,733.58
3118,1993-04-22,439.46,,,,,,,,,,20.15,1110.5,1898.6,341,6112,663.51,19591.31,677.96,,121.26,,,,327.46,737.59
3119,1993-04-23,437.03,,,,,,,,,,20.34,1111,1898.2,346,6180,658.41,19704.15,672.39,,118.78,,,,325.77,735.7
10717,1993-04-24,,,,,,,,,,,,,,,,,,,,,,,,,734.18
3120,1993-04-26,433.54,,,,,,,,,,20.3,1125,1912.1,351,6165,645.87,19623.63,660.17,,116.55,,,,329.21,730.92
3121,1993-04-27,438.01,,,,,,,,,,20.18,1133,1894.8,352.5,6085,652.52,20206.71,668.67,,118.54,,,,326.5,722.96
3122,1993-04-28,438.02,,,,,,,,,,20.19,1135.5,1892.1,353,5976,658.16,20454.57,675.79,,120.62,,,,327.75,728.41
3123,1993-04-29,438.89,,,,,,,,,,20.58,1123.5,1868.2,356.5,5975,658.45,,676.62,,120.7,,,,321.57,724.76
3124,1993-04-30,440.19,,,,,,,,,,20.53,1132.5,1879,356,6010,661.42,20919.18,679.14,,121.22,,,,337.09,721.57
10718,1993-05-01,,,,,,,,,,,,,,,,,,,,,,,,,717.68
3125,1993-05-03,442.46,,,,,,,,,,20.57,,,359,,666.71,,686.34,,122.56,,,,331.63,718.59
3126,1993-05-04,444.05,,,,,,,,,,20.39,1147.5,1862.1,356.5,6030,678.16,,699.19,,124.61,,,,331.1,719.83
3127,1993-05-05,444.52,,,,,,,,,,20.46,1160.5,1822.7,356.5,5965,683.26,,707.6,,125.57,,,,319.26,
3128,1993-05-06,443.26,,,,,,,,,,20.47,1157,1763.4,357,6026,680.04,20622.03,704.22,,124.46,,,,311.12,710.8
3129,1993-05-07,442.31,,,,,,,,,,20.44,1139,1749.1,359,6060,681.44,20811.36,707.48,,125.43,,,,311.16,703.85
10719,1993-05-08,,,,,,,,,,,,,,,,,,,,,,,,,703.16
3130,1993-05-10,442.8,,,,,,,,,,20.44,1148.5,1726.8,358,6050,682.82,21054.71,710.34,,125.99,,,,300.81,704.22
3131,1993-05-11,444.36,,,,,,,,,,20.34,1152,1786.2,357,6022,683.06,20940.37,709.61,,124.99,,,,294.2,701.36
3132,1993-05-12,444.8,,,,,,,,,,20.2,1151,1809.9,358,5995,681.69,20615.2,707.74,,123.8,,,,304.98,700.08
3133,1993-05-13,439.23,,,,,,,,,,19.78,1158,1860,371,5947,675.64,20532.78,701.75,,122.58,,,,313.68,710.61
3134,1993-05-14,439.56,,,,,,,,,,19.48,1149,1850.4,370,5845,676.37,20474.15,705.49,,123.67,,,,314.89,707.01
10720,1993-05-15,,,,,,,,,,,,,,,,,,,,,,,,,705.38
3135,1993-05-17,440.37,,,,,,,,,,19.51,1140.5,1766.1,370.8,5615,677.96,20565.51,708.3,,124.41,,,,301.01,717.17
3136,1993-05-18,440.32,,,,,,,,,,19.34,1145,1776.7,370.5,5690,680.78,20229.39,712.99,,127.35,,,,305.14,722.61
3137,1993-05-19,447.57,,,,,,,,,,19.15,1144.5,1805.6,383.5,5665,690.43,20380.79,725.14,,131.01,,,,300.33,724.76
3138,1993-05-20,450.59,,,,,,,,,,19.54,1142,1840.3,373.8,5692,697.43,20330.39,732.38,,131.45,,,,296.63,727.37
3139,1993-05-21,445.84,,,,,,,,,,19.88,1143,1829.5,375,5691,694.29,20557.47,728.59,,129.16,,,,289.59,727.99
10721,1993-05-22,,,,,,,,,,,,,,,,,,,,,,,,,733.34
3140,1993-05-24,448,,,,,,,,,,19.72,1136,1832.4,378.5,5675,694.69,20476.16,728.7,,130.54,,,,275.02,733.91
3141,1993-05-25,448.85,,,,,,,,,,19.9,1140,1848.7,378.5,5724,695.04,20631.76,728.33,,129.68,,,,280.54,727.27
3142,1993-05-26,453.44,,,,,,,,,,19.89,1147.5,1843.5,376.5,5728,704.09,20895.99,738.68,,134.16,,,,275.05,729.91
3143,1993-05-27,452.41,,,,,,,,,,20.06,1147,1795.5,378.5,5695,704.59,20852.63,738.39,,133.88,,,,271.94,737.22
3144,1993-05-28,450.19,,,,,,,,,,20.02,1143.5,1795.5,383,5695,700.53,20843.69,733.36,,131.69,,,,273.52,
10722,1993-05-29,,,,,,,,,,,,,,,,,,,,,,,,,738.75
10076,1993-05-31,,,,,,,,,,,,,,374.75,,,20552.35,,,,,,,282.3,752.31
3145,1993-06-01,453.83,,,,,,,,,,20.24,1145,1776.1,376.5,5687,704.28,20591.41,738.62,,134.05,,,,276.54,751.97
3146,1993-06-02,453.85,,,,,,,,,,20.03,1146.5,1811.9,371.5,5696,705.86,20691.7,739.58,,135.1,,,,282.78,759.81
3147,1993-06-03,452.49,,,,,,,,,,19.74,1153,1850.4,376,5840,706.22,21076,740.19,,135.04,,,,290.85,763.15
3148,1993-06-04,450.06,,,,,,,,,,19.77,1164,1914.3,378.5,5803,702.01,20882.24,734.49,,134.69,,,,286.41,760.15
10723,1993-06-05,,,,,,,,,,,,,,,,,,,,,,,,,754.59
3149,1993-06-07,447.69,,,,,,,,,,19.54,1178.5,1840.3,375.5,5725,694.61,20844.19,727.51,,132.52,,,,282.69,766.28
3150,1993-06-08,444.71,,,,,,,,,,19.65,1180.5,1829.5,376,5619,687.74,20575.24,719.32,,131.31,,,,281.71,768.19
3151,1993-06-09,445.78,,,,,,,,,,19.64,1184.5,1822.4,373,5620,689.24,,720.4,,130.41,,,,276.57,777.25
3152,1993-06-10,445.38,,,,,,,,,,19.28,1188.5,1873.2,371,5655,688.05,20493.32,719.33,,129.61,,,,275.98,773.39
3153,1993-06-11,447.26,,,,,,,,,,18.98,1178.5,1833.3,366.45,5630,693.19,20500.95,724.72,,130.46,,,,269.11,768.48
10724,1993-06-12,,,,,,,,,,,,,,,,,,,,,,,,,765.86
3154,1993-06-14,447.71,,,,,,,,,,18.89,1174,1845.1,365,5560,696.41,20397.35,,,131.6,,,,259.6,759.47
3155,1993-06-15,446.27,,,,,,,,,,18.58,1179,1835.1,370,5572,697.34,20045.88,729.07,,130.75,,,,262.71,757.84
3156,1993-06-16,447.43,,,,,,,,,,18.84,1181.5,1841.1,370.4,5605,696.26,19902.42,728.33,,129.38,,,,259.11,759.26
3157,1993-06-17,448.54,,,,,,,,,,18.7,1180,1867.8,371.2,5582,695.94,19925.51,726.31,,127.72,,,,257.85,762.54
