DATE|Actual Value|Prediction Value
20170207|2.30304247656821e-05|2.7504077632394775e-05
20170208|3.048447452238337e-05|2.740074683100788e-05
20170209|2.922771115052253e-05|2.8470304750463448e-05
20170210|3.1681608564104875e-05|2.7352320621653987e-05
20170213|1.8845551177335252e-05|2.7788554147978622e-05
20170214|2.4518045741679207e-05|2.5909858640146243e-05
20170215|2.321180670126131e-05|2.7409135143983035e-05
20170216|2.0840617274457813e-05|2.8704942989247413e-05
20170217|2.3112755131190188e-05|2.7352192939796055e-05
20170220|1.7550033122851175e-05|2.8116033813349086e-05
20170221|2.3235682740622413e-05|2.531675779641338e-05
20170222|1.7450015713905228e-05|2.5640253542401353e-05
20170223|1.4952356566371972e-05|2.539055084191712e-05
20170224|2.3651860454431076e-05|2.4686547205425297e-05
20170227|2.8627925529777966e-05|2.630002330509837e-05
20170228|1.7206484534445604e-05|2.687958462444661e-05
20170302|3.0062121150083974e-05|2.5426008995499295e-05
20170303|2.8269452843284193e-05|2.6511174555526254e-05
20170306|2.457344222300784e-05|2.8279992885296663e-05
20170307|1.991366978636954e-05|2.6672651006102885e-05
20170308|2.0836300963027915e-05|2.6014478210933037e-05
20170309|1.5934546222699264e-05|2.666358295272451e-05
20170310|6.523767495008565e-05|2.5541982911877363e-05
20170313|1.731347688000199e-05|2.9236350363229375e-05
20170314|2.6321731093966116e-05|2.579081184408586e-05
20170315|1.5272268637762462e-05|2.6792523701156744e-05
20170316|2.826148955342445e-05|2.657443340096487e-05
20170317|1.8254183830700484e-05|2.676230499163422e-05
20170320|1.1381389339898807e-05|2.553827195967357e-05
20170321|2.5122569405115e-05|2.4456899583464365e-05
20170322|2.227077326554725e-05|2.7179285994797497e-05
20170323|2.2192548926937214e-05|2.7541650434338936e-05
20170324|2.9117031942343196e-05|2.6232165594988296e-05
20170327|2.5129828091079313e-05|2.799528272976268e-05
20170328|1.2724397241379833e-05|2.7975824908527898e-05
20170329|1.7388677577439754e-05|2.3997077321665774e-05
20170330|2.066274109598996e-05|2.538297563074184e-05
20170331|2.685541399223877e-05|2.640447148762287e-05
20170403|1.6251494555807542e-05|2.6211625388285893e-05
20170404|1.4343369797201182e-05|2.587503906004028e-05
20170405|2.2617775151479517e-05|2.5188903273455988e-05
20170406|2.2236338127664094e-05|2.6846966577822515e-05
20170407|2.5359312687590232e-05|2.6338732776631973e-05
20170410|2.2774905408632578e-05|2.623373025379928e-05
20170411|1.963666116359944e-05|2.800454518320606e-05
20170412|1.299645119904339e-05|2.7071439514619444e-05
20170413|1.742117483360411e-05|2.490715529433189e-05
20170414|1.6877716386093938e-05|2.4178898666913025e-05
20170417|2.1912733770212258e-05|2.5571711299327662e-05
20170418|1.911569991393418e-05|2.4366853715018553e-05
20170419|2.7861036779759498e-05|2.3868628177018092e-05
20170420|2.3744796538097828e-05|2.5166439998704534e-05
20170421|1.9323589613549978e-05|2.492441981822466e-05
20170424|1.6674568164084316e-05|2.4033945734394665e-05
20170425|1.9321989044760672e-05|2.4349505321399308e-05
20170426|1.3950674142812144e-05|2.282380099406753e-05
20170427|3.6964495166612093e-05|2.2858361701294245e-05
20170428|3.358902526282132e-05|2.6906752478388023e-05
20170502|3.08384109566058e-05|3.118548677849267e-05
20170504|1.834801729763211e-05|2.6015863861017124e-05
20170508|3.555779722485563e-05|2.5505520041506786e-05
20170510|0.00017672001982996485|2.6123669601098317e-05
20170511|5.932825839259856e-05|3.232484253748892e-05
20170512|3.129265153854424e-05|3.541858437562392e-05
20170515|4.1956432532354445e-05|3.406536470334933e-05
20170516|4.46231081565217e-05|3.1941516079094605e-05
20170517|3.7233918088337776e-05|3.301867993039933e-05
20170518|3.3397034992810514e-05|3.199128343635546e-05
20170519|2.4704859933705857e-05|3.1574991308706854e-05
20170522|3.059526396236591e-05|3.041848911177166e-05
20170523|3.575093031100169e-05|2.808068928249353e-05
20170524|1.5854269587586898e-05|2.796638447255199e-05
20170525|3.089912545376765e-05|2.761083249581269e-05
20170526|3.658750820464689e-05|2.7019280626815822e-05
20170529|3.38826036343902e-05|2.721063699977577e-05
20170530|4.821127082881553e-05|2.726855489022268e-05
20170531|3.4284690578225774e-05|3.200479006790342e-05
20170601|4.396965621117874e-05|3.1515706864908904e-05
20170602|2.5871337169959355e-05|3.232724782164809e-05
20170605|2.36929685039385e-05|2.8032735560198226e-05
20170607|2.0783560476911956e-05|2.89490245311546e-05
20170608|2.6399644952351768e-05|2.9301984985613183e-05
20170609|2.1516128631610858e-05|2.7926059318047917e-05
20170612|2.3782698751877737e-05|2.7167282265536973e-05
20170613|1.7577523431631844e-05|2.8458012872891722e-05
20170614|2.198410192143986e-05|2.575055582162791e-05
20170615|3.0412678080270457e-05|2.7334422543790057e-05
20170616|2.935383992964212e-05|2.8777827563794557e-05
20170619|2.16214220303454e-05|2.667869393604081e-05
20170620|2.1483400798791217e-05|2.6816342337201212e-05
20170621|3.640803123230607e-05|2.747531268608018e-05
20170622|2.1905670876406993e-05|3.156403766389983e-05
20170623|2.2890111583418015e-05|2.6241808600136462e-05
20170626|2.2679133664296744e-05|2.6215535546925687e-05
20170627|1.9468050912523316e-05|2.6806590977796743e-05
20170628|1.5257100258552203e-05|2.7726400271677994e-05
20170629|1.8206908741617307e-05|2.4956507609750074e-05
20170630|1.9353211543852974e-05|2.500976942117242e-05
20170703|1.8286316352171006e-05|2.3946108597778005e-05
20170704|2.8629288078935974e-05|2.322666662128468e-05
20170705|1.9972398149984063e-05|2.5444170193977606e-05
20170706|1.629903961442649e-05|2.4007306761015016e-05
20170707|1.7887356543404972e-05|2.3663675934706495e-05
20170710|1.996437835764244e-05|2.3202956053863812e-05
