,ticker,index
328,HPE_close,product
329,Intel_close,product
330,LamResearch_close,product
331,MediaTek_close,product
332,Micron_close,product
333,Microsoft_close,product
334,Nuvoton_close,product
335,Nvidia_close,product
336,Philadelphia_close,product
337,QCOM_close,product
338,SamsungElectronics_close,product
339,ShinEtsuChemical_close,product
340,Siltronic_close,product
341,SKhynix_close,product
342,Sumco_close,product
343,TokyoElectron_close,product
344,TSMC_close,product
345,UMC_close,product
346,KRXsemiconductor_change,target
