,date,KRX_close,KRX_vol,KRX_change,hynix_close,hynix_vol,hynix_change
65,2006-03-08,923.73,"15,181,400",-0.42,"29,450","8,627,940",1.03
66,2006-03-09,922.99,"13,357,800",-0.08,"29,100","8,551,943",-1.19
67,2006-03-10,935.71,"14,486,400",1.38,"29,400","10,007,237",1.03
68,2006-03-11,,,,,,
69,2006-03-12,,,,,,
70,2006-03-13,938.06,"11,329,800",0.25,"29,050","8,109,698",-1.19
71,2006-03-14,926.22,"12,790,600",-1.26,"28,350","8,784,830",-2.41
72,2006-03-15,934.45,"11,697,200",0.89,"28,350","7,609,587",0.0
73,2006-03-16,938.16,"17,076,100",0.4,"27,700","12,307,477",-2.29
74,2006-03-17,947.35,"10,862,700",0.98,"28,600","7,943,736",3.25
75,2006-03-18,,,,,,
76,2006-03-19,,,,,,
77,2006-03-20,943.05,"8,012,500",-0.45,"28,700","5,194,601",0.35
78,2006-03-21,943.52,"9,631,500",0.05,"28,400","6,547,257",-1.05
79,2006-03-22,914.64,"13,050,700",-3.06,"27,350","8,765,386",-3.7
80,2006-03-23,907.16,"11,071,200",-0.82,"27,200","7,147,856",-0.55
81,2006-03-24,899.53,"10,681,400",-0.84,"26,550","7,564,695",-2.39
82,2006-03-25,,,,,,
83,2006-03-26,,,,,,
84,2006-03-27,909.3,"10,118,500",1.09,"27,450","7,095,042",3.39
85,2006-03-28,909.42,"9,045,000",0.01,"27,650","5,474,390",0.73
86,2006-03-29,915.26,"8,399,700",0.64,"27,650","4,554,153",0.0
87,2006-03-30,923.67,"9,938,400",0.92,"28,300","6,601,655",2.35
88,2006-03-31,937.43,"12,073,200",1.49,"28,900","8,036,603",2.12
89,2006-04-01,,,,,,
90,2006-04-02,,,,,,
91,2006-04-03,955.61,"8,741,400",1.94,"29,600","4,496,960",2.42
92,2006-04-04,974.66,"16,651,800",1.99,"30,850","11,517,886",4.22
93,2006-04-05,979.62,"13,254,000",0.51,"30,600","7,730,877",-0.81
94,2006-04-06,990.82,"15,084,700",1.14,"30,800","7,380,624",0.65
95,2006-04-07,996.17,"11,671,700",0.54,"30,900","5,856,184",0.32
96,2006-04-08,,,,,,
97,2006-04-09,,,,,,
98,2006-04-10,987.02,"9,277,700",-0.92,"30,350","5,323,793",-1.78
99,2006-04-11,982.31,"10,703,300",-0.48,"29,700","5,852,860",-2.14
100,2006-04-12,988.72,"10,051,500",0.65,"30,400","5,377,226",2.36
101,2006-04-13,"1,005.87","10,190,700",1.73,"31,100","5,768,549",2.3
102,2006-04-14,"1,020.15","16,477,700",1.42,"32,500","9,628,229",4.5
103,2006-04-15,,,,,,
104,2006-04-16,,,,,,
105,2006-04-17,"1,024.66","11,610,200",0.44,"33,000","6,812,613",1.54
106,2006-04-18,"1,036.17","11,806,900",1.12,"32,950","6,400,912",-0.15
107,2006-04-19,"1,047.57","16,980,200",1.1,"33,550","11,248,553",1.82
108,2006-04-20,"1,047.03","11,831,000",-0.05,"33,550","6,055,923",0.0
109,2006-04-21,"1,063.07","12,200,500",1.53,"34,250","7,224,497",2.09
110,2006-04-22,,,,,,
111,2006-04-23,,,,,,
112,2006-04-24,"1,044.03","9,963,800",-1.79,"33,900","5,915,064",-1.02
113,2006-04-25,"1,029.94","11,890,300",-1.35,"33,250","6,627,562",-1.92
114,2006-04-26,"1,034.83","9,147,100",0.47,"33,250","5,080,201",0.0
115,2006-04-27,"1,046.35","11,287,200",1.11,"33,900","7,117,880",1.95
116,2006-04-28,"1,021.06","10,484,000",-2.42,"32,950","6,174,477",-2.8
117,2006-04-29,,,,,,
118,2006-04-30,,,,,,
119,2006-05-01,,,,,,
120,2006-05-02,"1,027.33","18,301,600",0.61,"31,100","13,177,549",-5.61
121,2006-05-03,"1,024.51","8,914,700",-0.27,"31,000","4,496,568",-0.32
122,2006-05-04,"1,018.62","9,571,400",-0.57,"31,200","5,370,080",0.65
123,2006-05-05,,,,,,
124,2006-05-06,,,,,,
125,2006-05-07,,,,,,
126,2006-05-08,"1,005.75","11,717,700",-1.26,"31,500","4,747,563",0.96
127,2006-05-09,"1,021.85","14,951,400",1.6,"32,850","9,169,933",4.29
128,2006-05-10,"1,008.55","10,681,000",-1.3,"32,000","6,035,374",-2.59
129,2006-05-11,"1,020.98","8,188,300",1.23,"32,250","4,563,593",0.78
130,2006-05-12,"1,025.00","10,191,900",0.39,"32,850","5,895,158",1.86
131,2006-05-13,,,,,,
132,2006-05-14,,,,,,
133,2006-05-15,"1,020.55","8,835,200",-0.43,"33,500","5,394,732",1.98
134,2006-05-16,"1,001.14","9,109,800",-1.9,"32,800","5,206,313",-2.09
135,2006-05-17,"1,023.81","16,722,200",2.26,"34,300","11,315,562",4.57
136,2006-05-18,"1,006.94","15,029,300",-1.65,"34,600","9,386,109",0.87
137,2006-05-19,"1,000.91","9,585,200",-0.6,"34,100","5,226,466",-1.45
138,2006-05-20,,,,,,
139,2006-05-21,,,,,,
140,2006-05-22,974.53,"10,604,700",-2.64,"32,650","5,921,693",-4.25
141,2006-05-23,972.58,"13,856,100",-0.2,"32,900","6,855,214",0.77
142,2006-05-24,973.49,"10,068,800",0.09,"33,150","5,112,066",0.76
143,2006-05-25,941.79,"9,758,100",-3.26,"31,900","5,038,621",-3.77
144,2006-05-26,963.86,"9,580,700",2.34,"32,400","4,966,475",1.57
145,2006-05-27,,,,,,
146,2006-05-28,,,,,,
147,2006-05-29,974.53,"7,974,300",1.11,"32,200","3,461,484",-0.62
148,2006-05-30,971.42,"8,352,200",-0.32,"32,000","3,825,151",-0.62
149,2006-05-31,,,,,,
150,2006-06-01,955.39,"7,770,100",-1.65,"31,250","3,390,518",-2.34
151,2006-06-02,946.62,"10,556,200",-0.92,"31,750","4,473,018",1.6
152,2006-06-03,,,,,,
153,2006-06-04,,,,,,
154,2006-06-05,933.52,"5,644,000",-1.38,"31,500","2,457,601",-0.79
155,2006-06-06,,,,,,
156,2006-06-07,900.94,"9,892,000",-3.49,"30,600","4,594,225",-2.86
157,2006-06-08,865.63,"10,024,200",-3.92,"30,100","4,330,415",-1.63
158,2006-06-09,881.58,"10,234,700",1.84,"30,050","4,039,837",-0.17
159,2006-06-10,,,,,,
160,2006-06-11,,,,,,
161,2006-06-12,881.56,"6,073,700",0.0,"29,950","2,484,328",-0.33
162,2006-06-13,841.55,"9,218,800",-4.54,"28,900","4,780,389",-3.51
163,2006-06-14,844.75,"10,420,700",0.38,"29,050","5,382,382",0.52
164,2006-06-15,839.55,"7,988,300",-0.62,"28,850","3,790,955",-0.69
165,2006-06-16,859.31,"10,214,900",2.35,"29,700","5,537,337",2.95
166,2006-06-17,,,,,,
167,2006-06-18,,,,,,
168,2006-06-19,841.94,"7,957,000",-2.02,"29,100","4,836,852",-2.02
169,2006-06-20,811.35,"11,128,600",-3.63,"28,250","5,644,553",-2.92
170,2006-06-21,816.63,"11,477,500",0.65,"27,350","7,006,583",-3.19
171,2006-06-22,811.63,"23,554,100",-0.61,"26,200","19,015,537",-4.2
172,2006-06-23,816.1,"13,248,400",0.55,"27,100","10,475,595",3.44
173,2006-06-24,,,,,,
174,2006-06-25,,,,,,
175,2006-06-26,852.92,"47,996,800",4.51,"29,600","44,078,345",9.23
176,2006-06-27,864.98,"14,024,600",1.41,"29,500","10,346,157",-0.34
177,2006-06-28,858.77,"8,838,200",-0.72,"29,750","5,544,439",0.85
178,2006-06-29,873.86,"8,501,900",1.76,"29,950","5,275,816",0.67
179,2006-06-30,896.65,"13,019,500",2.61,"30,750","8,561,922",2.67
180,2006-07-01,,,,,,
181,2006-07-02,,,,,,
182,2006-07-03,901.01,"8,533,100",0.49,"31,000","5,694,107",0.81
183,2006-07-04,896.37,"8,428,800",-0.51,"30,600","5,128,314",-1.29
184,2006-07-05,896.89,"8,458,000",0.06,"30,450","4,391,382",-0.49
185,2006-07-06,895.8,"7,779,800",-0.12,"30,500","4,934,692",0.16
186,2006-07-07,896.28,"6,397,400",0.05,"30,350","3,541,582",-0.49
187,2006-07-08,,,,,,
188,2006-07-09,,,,,,
189,2006-07-10,916.51,"6,681,700",2.26,"30,950","3,920,218",1.98
190,2006-07-11,927.11,"10,110,700",1.16,"31,750","7,134,221",2.58
191,2006-07-12,933.66,"8,609,500",0.71,"32,100","5,122,998",1.1
192,2006-07-13,930.38,"7,409,500",-0.35,"31,900","4,188,448",-0.62
193,2006-07-14,910.7,"9,112,100",-2.12,"30,900","5,398,288",-3.13
194,2006-07-15,,,,,,
195,2006-07-16,,,,,,
196,2006-07-17,,,,,,
197,2006-07-18,888.8,"7,647,900",-2.4,"30,600","4,944,210",-0.97
198,2006-07-19,889.08,"6,549,900",0.03,"30,500","3,424,861",-0.33
199,2006-07-20,913.3,"11,123,800",2.72,"31,300","7,326,404",2.62
200,2006-07-21,914.62,"7,022,800",0.14,"32,100","4,640,404",2.56
201,2006-07-22,,,,,,
202,2006-07-23,,,,,,
203,2006-07-24,910.7,"6,032,900",-0.43,"31,650","3,582,142",-1.4
204,2006-07-25,922.75,"9,574,800",1.32,"32,000","5,702,684",1.11
205,2006-07-26,922.15,"5,024,700",-0.07,"31,800","2,398,267",-0.63
206,2006-07-27,928.21,"6,442,500",0.66,"31,800","3,811,182",0.0
207,2006-07-28,929.98,"5,721,100",0.19,"31,950","2,400,341",0.47
208,2006-07-29,,,,,,
209,2006-07-30,,,,,,
210,2006-07-31,945.25,"7,727,000",1.64,"32,500","4,885,154",1.72
211,2006-08-01,942.2,"12,781,600",-0.32,"32,900","9,772,578",1.23
212,2006-08-02,946.83,"5,602,300",0.49,"33,200","3,076,284",0.91
213,2006-08-03,942.9,"7,359,400",-0.42,"33,100","4,139,510",-0.3
214,2006-08-04,947.86,"5,778,000",0.53,"33,650","2,951,013",1.66
215,2006-08-05,,,,,,
216,2006-08-06,,,,,,
217,2006-08-07,932.17,"5,613,900",-1.66,"32,800","2,778,270",-2.53
218,2006-08-08,942.41,"6,533,500",1.1,"33,200","3,642,256",1.22
219,2006-08-09,943.16,"6,327,300",0.08,"33,200","2,943,007",0.0
220,2006-08-10,940.04,"8,058,100",-0.33,"32,700","4,833,179",-1.51
221,2006-08-11,939.17,"7,969,400",-0.09,"32,550","3,812,380",-0.46
222,2006-08-12,,,,,,
223,2006-08-13,,,,,,
224,2006-08-14,933.16,"5,490,500",-0.64,"32,800","2,284,334",0.77
225,2006-08-15,,,,,,
226,2006-08-16,939.4,"9,310,400",0.67,"32,900","5,820,730",0.3
227,2006-08-17,971.56,"15,495,200",3.42,"34,400","9,859,517",4.56
228,2006-08-18,984.98,"13,320,500",1.38,"34,900","8,936,984",1.45
229,2006-08-19,,,,,,
230,2006-08-20,,,,,,
231,2006-08-21,980.09,"7,434,400",-0.5,"34,500","3,518,985",-1.15
232,2006-08-22,987.42,"6,674,800",0.75,"34,500","3,534,084",0.0
233,2006-08-23,974.36,"6,301,700",-1.32,"34,000","3,190,030",-1.45
234,2006-08-24,964.7,"7,046,300",-0.99,"34,500","3,270,831",1.47
235,2006-08-25,982.24,"12,106,200",1.82,"35,650","7,700,470",3.33
236,2006-08-26,,,,,,
237,2006-08-27,,,,,,
238,2006-08-28,991.31,"11,615,000",0.92,"36,000","7,983,548",0.98
239,2006-08-29,"1,005.46","10,128,700",1.43,"36,300","5,642,090",0.83
240,2006-08-30,"1,007.31","7,827,200",0.18,"36,300","4,064,666",0.0
241,2006-08-31,"1,016.12","11,145,400",0.87,"36,800","5,582,834",1.38
242,2006-09-01,"1,028.00","8,402,200",1.17,"37,500","4,748,788",1.9
243,2006-09-02,,,,,,
244,2006-09-03,,,,,,
245,2006-09-04,"1,032.35","9,330,600",0.42,"37,850","3,752,697",0.93
246,2006-09-05,"1,041.40","10,997,700",0.88,"37,000","4,693,408",-2.25
247,2006-09-06,"1,039.70","9,281,300",-0.16,"36,400","3,311,073",-1.62
248,2006-09-07,"1,037.20","8,078,900",-0.24,"36,300","4,643,237",-0.27
249,2006-09-08,"1,051.44","6,390,300",1.37,"37,000","3,254,058",1.93
250,2006-09-09,,,,,,
251,2006-09-10,,,,,,
252,2006-09-11,"1,040.04","7,740,300",-1.08,"36,700","4,462,638",-0.81
253,2006-09-12,"1,037.58","8,615,500",-0.24,"37,200","4,476,640",1.36
254,2006-09-13,"1,052.60","12,378,000",1.45,"38,350","7,923,269",3.09
255,2006-09-14,"1,071.83","11,184,500",1.83,"38,900","6,599,588",1.43
256,2006-09-15,"1,091.74","11,660,300",1.86,"39,100","4,998,537",0.51
257,2006-09-16,,,,,,
258,2006-09-17,,,,,,
259,2006-09-18,"1,109.71","15,100,500",1.65,"40,100","7,301,489",2.56
260,2006-09-19,"1,105.21","12,127,500",-0.41,"39,900","3,880,846",-0.5
261,2006-09-20,"1,091.97","16,218,200",-1.2,"38,500","10,850,995",-3.51
262,2006-09-21,"1,081.79","11,938,900",-0.93,"38,150","6,597,914",-0.91
263,2006-09-22,"1,054.15","13,197,600",-2.56,"36,750","8,430,714",-3.67
264,2006-09-23,,,,,,
265,2006-09-24,,,,,,
266,2006-09-25,"1,045.67","11,127,900",-0.8,"36,950","6,695,668",0.54
267,2006-09-26,"1,044.30","10,121,700",-0.13,"36,200","6,536,446",-2.03
268,2006-09-27,"1,061.54","11,887,800",1.65,"36,300","6,744,334",0.28
269,2006-09-28,"1,071.91","10,637,400",0.98,"37,000","5,362,142",1.93
270,2006-09-29,"1,075.64","7,075,000",0.35,"37,300","3,886,480",0.81
271,2006-09-30,,,,,,
272,2006-10-01,,,,,,
273,2006-10-02,"1,071.02","5,346,300",-0.43,"37,100","2,641,626",-0.54
274,2006-10-03,,,,,,
275,2006-10-04,"1,049.96","8,159,000",-1.97,"36,500","4,915,087",-1.62
276,2006-10-05,,,,,,
277,2006-10-06,,,,,,
278,2006-10-07,,,,,,
279,2006-10-08,,,,,,
280,2006-10-09,"1,006.18","17,044,100",-4.17,"34,950","9,551,557",-4.25
281,2006-10-10,"1,016.33","10,449,600",1.01,"35,050","6,030,713",0.29
282,2006-10-11,"1,012.05","8,249,400",-0.42,"35,200","4,928,237",0.43
283,2006-10-12,"1,024.30","7,275,900",1.21,"35,850","4,066,172",1.85
284,2006-10-13,"1,055.01","10,551,900",3.0,"37,300","5,175,251",4.04
285,2006-10-14,,,,,,
286,2006-10-15,,,,,,
287,2006-10-16,"1,063.00","11,643,500",0.76,"37,300","5,476,640",0.0
288,2006-10-17,"1,055.66","10,460,300",-0.69,"37,300","4,272,956",0.0
289,2006-10-18,"1,055.29","7,623,800",-0.04,"37,350","3,868,978",0.13
290,2006-10-19,"1,045.25","10,960,500",-0.95,"36,200","4,723,708",-3.08
291,2006-10-20,"1,042.33","11,338,400",-0.28,"36,100","6,110,405",-0.28
292,2006-10-21,,,,,,
293,2006-10-22,,,,,,
294,2006-10-23,"1,036.51","11,184,200",-0.56,"36,100","5,707,334",0.0
295,2006-10-24,"1,027.79","11,939,600",-0.84,"36,000","5,780,357",-0.28
296,2006-10-25,"1,023.49","15,193,900",-0.42,"35,350","7,837,200",-1.81
297,2006-10-26,"1,029.81","12,982,000",0.62,"35,550","7,359,368",0.57
298,2006-10-27,"1,015.66","16,199,700",-1.37,"34,350","11,439,427",-3.38
299,2006-10-28,,,,,,
300,2006-10-29,,,,,,
301,2006-10-30,997.3,"11,786,200",-1.81,"33,300","8,110,194",-3.06
302,2006-10-31,"1,012.47","10,228,300",1.52,"34,200","5,918,013",2.7
303,2006-11-01,"1,034.18","9,534,900",2.14,"34,050","4,500,012",-0.44
304,2006-11-02,"1,037.56","9,543,900",0.33,"34,800","5,600,999",2.2
305,2006-11-03,"1,033.92","10,300,500",-0.35,"33,700","6,289,428",-3.16
306,2006-11-04,,,,,,
307,2006-11-05,,,,,,
308,2006-11-06,"1,027.58","9,366,500",-0.61,"33,650","4,718,196",-0.15
309,2006-11-07,"1,026.39","8,590,100",-0.12,"34,000","4,629,830",1.04
310,2006-11-08,"1,026.91","10,620,000",0.05,"34,500","5,653,025",1.47
311,2006-11-09,"1,039.70","8,924,800",1.25,"34,700","4,721,786",0.58
312,2006-11-10,"1,035.17","6,757,800",-0.44,"34,200","3,184,885",-1.44
313,2006-11-11,,,,,,
314,2006-11-12,,,,,,
315,2006-11-13,"1,048.11","9,548,500",1.25,"35,100","4,926,680",2.63
316,2006-11-14,"1,065.77","12,537,400",1.68,"35,400","5,355,096",0.85
317,2006-11-15,"1,074.47","11,525,200",0.82,"36,000","4,885,944",1.69
318,2006-11-16,"1,071.36","10,017,700",-0.29,"35,600","3,737,627",-1.11
319,2006-11-17,"1,070.81","7,292,900",-0.05,"35,850","2,590,574",0.7
320,2006-11-18,,,,,,
321,2006-11-19,,,,,,
322,2006-11-20,"1,051.77","8,408,600",-1.78,"35,000","3,473,368",-2.37
323,2006-11-21,"1,047.14","8,460,100",-0.44,"34,950","2,328,910",-0.14
324,2006-11-22,"1,064.03","7,906,400",1.61,"35,750","3,459,669",2.29
325,2006-11-23,"1,058.48","7,429,900",-0.52,"35,600","2,666,078",-0.42
326,2006-11-24,"1,057.90","6,903,100",-0.05,"35,650","2,390,727",0.14
327,2006-11-25,,,,,,
328,2006-11-26,,,,,,
329,2006-11-27,"1,051.56","6,891,200",-0.6,"35,400","3,022,008",-0.7
330,2006-11-28,"1,035.15","6,565,800",-1.56,"34,800","2,755,030",-1.69
331,2006-11-29,"1,039.40","7,418,100",0.41,"35,050","2,080,426",0.72
332,2006-11-30,"1,048.27","9,252,700",0.85,"35,300","2,399,904",0.71
333,2006-12-01,"1,049.76","8,340,800",0.14,"36,050","3,049,086",2.12
334,2006-12-02,,,,,,
335,2006-12-03,,,,,,
336,2006-12-04,"1,041.69","11,032,200",-0.77,"36,450","4,268,006",1.11
337,2006-12-05,"1,041.98","9,878,000",0.03,"36,550","5,162,364",0.27
338,2006-12-06,"1,033.21","9,693,100",-0.84,"36,400","3,621,729",-0.41
339,2006-12-07,"1,024.91","5,855,800",-0.8,"36,350","2,247,778",-0.14
340,2006-12-08,"1,008.69","19,665,900",-1.58,"35,000","6,501,090",-3.71
341,2006-12-09,,,,,,
342,2006-12-10,,,,,,
343,2006-12-11,"1,007.17","8,524,000",-0.15,"35,350","3,018,348",1.0
344,2006-12-12,991.57,"9,069,700",-1.55,"34,600","3,554,225",-2.12
345,2006-12-13,"1,004.87","14,312,300",1.34,"34,850","3,018,846",0.72
346,2006-12-14,"1,027.65","18,504,100",2.27,"35,800","5,766,215",2.73
347,2006-12-15,"1,033.60","12,024,000",0.58,"36,250","3,813,327",1.26
348,2006-12-16,,,,,,
349,2006-12-17,,,,,,
350,2006-12-18,"1,029.90","9,139,500",-0.36,"36,450","2,817,132",0.55
351,2006-12-19,"1,020.00","10,448,100",-0.96,"35,950","2,532,841",-1.37
352,2006-12-20,"1,034.42","10,428,900",1.41,"36,400","2,656,915",1.25
353,2006-12-21,"1,034.65","8,924,700",0.02,"36,150","2,119,546",-0.69
354,2006-12-22,"1,023.28","7,407,200",-1.1,"36,150","2,271,161",0.0
355,2006-12-23,,,,,,
356,2006-12-24,,,,,,
357,2006-12-25,,,,,,
358,2006-12-26,"1,010.61","7,168,900",-1.24,"35,750","2,545,108",-1.11
359,2006-12-27,"1,015.02","5,506,300",0.44,"36,250","1,992,596",1.4
360,2006-12-28,"1,024.05","5,874,200",0.89,"36,450","2,471,070",0.55
361,2006-12-29,,,,,,
362,2006-12-30,,,,,,
363,2006-12-31,,,,,,
364,2007-01-01,,,,,,
365,2007-01-02,"1,033.07","8,252,800",0.88,"37,300","4,461,871",2.33
366,2007-01-03,"1,015.26","9,049,300",-1.72,"36,950","3,827,777",-0.94
367,2007-01-04,"1,012.75","7,998,700",-0.25,"37,150","4,410,444",0.54
368,2007-01-05,998.57,"9,950,400",-1.4,"37,400","5,935,841",0.67
369,2007-01-06,,,,,,
370,2007-01-07,,,,,,
371,2007-01-08,987.29,"6,670,400",-1.13,"36,650","3,436,598",-2.01
372,2007-01-09,986.13,"5,642,800",-0.12,"36,650","2,737,071",0.0
373,2007-01-10,968.94,"8,114,900",-1.74,"36,550","4,068,429",-0.27
374,2007-01-11,974.55,"8,465,300",0.58,"36,200","5,257,628",-0.96
375,2007-01-12,981.08,"9,735,700",0.67,"36,400","5,912,235",0.55
376,2007-01-13,,,,,,
377,2007-01-14,,,,,,
378,2007-01-15,996.33,"6,860,600",1.55,"36,500","3,382,575",0.27
379,2007-01-16,998.07,"8,875,000",0.17,"35,850","3,723,261",-1.78
380,2007-01-17,972.62,"11,697,600",-2.55,"34,250","7,921,034",-4.46
381,2007-01-18,957.61,"10,082,800",-1.54,"33,850","5,698,619",-1.17
382,2007-01-19,926.03,"16,737,600",-3.3,"32,200","10,996,085",-4.87
383,2007-01-20,,,,,,
384,2007-01-21,,,,,,
385,2007-01-22,921.46,"8,884,600",-0.49,"32,900","5,248,127",2.17
386,2007-01-23,911.98,"8,160,200",-1.03,"32,700","3,365,091",-0.61
387,2007-01-24,932.11,"7,542,200",2.21,"33,800","3,656,330",3.36
388,2007-01-25,933.58,"5,387,900",0.16,"33,550","2,286,870",-0.74
389,2007-01-26,921.95,"7,181,700",-1.25,"32,950","4,348,101",-1.79
390,2007-01-27,,,,,,
391,2007-01-28,,,,,,
392,2007-01-29,904.48,"11,992,300",-1.89,"31,700","9,079,898",-3.79
393,2007-01-30,900.98,"9,830,700",-0.39,"31,800","6,707,433",0.32
394,2007-01-31,889.76,"10,529,300",-1.25,"31,250","7,786,100",-1.73
395,2007-02-01,897.92,"11,291,300",0.92,"31,150","8,183,670",-0.32
396,2007-02-02,926.74,"11,576,100",3.21,"32,000","7,718,965",2.73
397,2007-02-03,,,,,,
398,2007-02-04,,,,,,
399,2007-02-05,935.14,"8,221,700",0.91,"32,550","5,205,451",1.72
400,2007-02-06,941.08,"8,966,800",0.64,"32,250","5,770,431",-0.92
401,2007-02-07,947.54,"9,051,900",0.69,"32,050","5,169,719",-0.62
402,2007-02-08,942.33,"10,737,400",-0.55,"31,700","5,318,148",-1.09
403,2007-02-09,935.68,"8,144,900",-0.71,"31,500","4,432,259",-0.63
404,2007-02-10,,,,,,
405,2007-02-11,,,,,,
406,2007-02-12,920.24,"11,717,600",-1.65,"30,800","7,594,356",-2.22
407,2007-02-13,931.5,"10,726,500",1.22,"30,850","3,762,304",0.16
408,2007-02-14,938.66,"8,360,500",0.77,"31,100","4,785,225",0.81
409,2007-02-15,944.8,"9,395,900",0.65,"31,300","4,176,890",0.64
410,2007-02-16,957.6,"9,359,300",1.35,"31,900","5,532,048",1.92
411,2007-02-17,,,,,,
412,2007-02-18,,,,,,
413,2007-02-19,,,,,,
414,2007-02-20,962.27,"7,626,800",0.49,"32,100","4,056,907",0.63
415,2007-02-21,975.65,"12,018,000",1.39,"32,750","7,752,967",2.02
416,2007-02-22,981.36,"10,716,800",0.59,"32,550","4,508,495",-0.61
417,2007-02-23,986.8,"10,944,600",0.55,"32,300","5,905,518",-0.77
418,2007-02-24,,,,,,
419,2007-02-25,,,,,,
420,2007-02-26,985.21,"7,305,900",-0.16,"32,600","4,022,813",0.93
421,2007-02-27,971.95,"7,445,600",-1.35,"31,950","4,572,140",-1.99
422,2007-02-28,954.38,"12,150,700",-1.81,"31,150","8,008,997",-2.5
423,2007-03-01,,,,,,
424,2007-03-02,960.22,"7,356,000",0.61,"31,400","4,201,766",0.8
425,2007-03-03,,,,,,
426,2007-03-04,,,,,,
427,2007-03-05,944.77,"7,690,100",-1.61,"31,450","4,503,565",0.16
428,2007-03-06,961.68,"6,970,700",1.79,"32,100","3,650,845",2.07
429,2007-03-07,971.13,"9,719,000",0.98,"32,000","3,874,191",-0.31
430,2007-03-08,975.32,"9,193,400",0.43,"32,400","4,641,305",1.25
