DATE|Actual Value|Prediction Value
20170303|2.1905482407677703e-05|2.6674031668636825e-05
20170306|2.9299126829038027e-05|2.832893664313008e-05
20170307|2.784713376043685e-05|2.7554381460837992e-05
20170308|2.912874602195615e-05|2.6757614536774304e-05
20170309|2.8015939556903062e-05|2.6688332416390447e-05
20170310|3.0481328223048097e-05|2.563167145606451e-05
20170313|2.1084629999171083e-05|3.0595389290556735e-05
20170314|1.9898212491150453e-05|2.6360162570288806e-05
20170315|1.9658380153380204e-05|2.7302732840049113e-05
20170316|2.1058081078937154e-05|2.640645416768354e-05
20170317|1.9844292953639718e-05|2.7121696421610064e-05
20170320|2.2016862575968274e-05|2.551731254535633e-05
20170321|2.4766550326204383e-05|2.4387027944006025e-05
20170322|2.2286915893457345e-05|2.579270093802739e-05
20170323|2.1310496755835825e-05|2.6118720989174965e-05
20170324|2.1004535189646395e-05|2.536636745215164e-05
20170327|2.0552211599625506e-05|2.777461417783729e-05
20170328|1.8776544892571152e-05|2.7451265578954494e-05
20170329|1.91003394037354e-05|2.5539983721968176e-05
20170330|2.0146158918543354e-05|2.584742792857491e-05
20170331|2.0460878324878188e-05|2.589254186947987e-05
20170403|2.0161658063948493e-05|2.689785351127702e-05
20170404|2.146634023451349e-05|2.4504144042345252e-05
20170405|2.2524998507793135e-05|2.4453019485457753e-05
20170406|2.0600733717305915e-05|2.539846592556653e-05
20170407|1.9637701058493913e-05|2.543188244867855e-05
20170410|1.7941381798194676e-05|2.486462524537373e-05
20170411|1.7768947470510597e-05|2.76434471644688e-05
20170412|1.7664755220577555e-05|2.5267231960468425e-05
20170413|2.0637672336720758e-05|2.358170320297957e-05
20170414|2.19023966776195e-05|2.3733620675557e-05
20170417|2.2391571323110735e-05|2.3675031647244713e-05
20170418|2.1343938201885134e-05|2.361927315227446e-05
20170419|2.1385196028050427e-05|2.3601221187330706e-05
20170420|1.860312350066095e-05|2.4820343956823963e-05
20170421|2.124706322636383e-05|2.4817425088795805e-05
20170424|2.4100150356218066e-05|2.4147766932143234e-05
20170425|2.693291891472237e-05|2.3827217882954213e-05
20170426|2.6738124565296666e-05|2.336441073353657e-05
20170427|3.1059549181705356e-05|2.272095389398409e-05
20170428|5.901065411437592e-05|2.5273182168295887e-05
20170502|6.415850074033133e-05|2.566803697002453e-05
20170504|6.424934885671907e-05|2.5789266687761772e-05
20170508|6.897103190366347e-05|2.492465204286789e-05
20170510|7.078409408999677e-05|2.582893055771295e-05
20170511|4.288687374167135e-05|3.175415806375474e-05
20170512|3.770062906171367e-05|3.286652672831553e-05
20170515|3.638307074074601e-05|3.204013172292152e-05
20170516|3.411083702674834e-05|3.1153152441337065e-05
20170517|3.233640145764432e-05|3.243607497790659e-05
20170518|2.8060471757494125e-05|3.251045055199373e-05
20170519|2.7560889849685576e-05|3.24471805594898e-05
20170522|2.993741950387374e-05|3.072465688492841e-05
20170523|3.059488743827862e-05|3.0530066666874374e-05
20170524|3.308695554184138e-05|3.110331684500842e-05
20170525|3.6773039739969184e-05|2.807870957566864e-05
20170526|3.938714589145135e-05|2.8728330246738515e-05
20170529|3.7243911684513855e-05|2.888085535082663e-05
20170530|3.520598465842353e-05|2.9252226742013088e-05
20170531|2.972044258804283e-05|3.3886258570479597e-05
20170601|2.8143433462868038e-05|3.051346009315385e-05
20170602|2.3652727946954465e-05|3.0673817162159075e-05
20170605|2.323500026333814e-05|2.984000422309334e-05
20170607|2.201191124887679e-05|2.9599433652313243e-05
20170608|2.2252019537782372e-05|2.9053142183994943e-05
20170609|2.305462616336613e-05|2.9276548234708237e-05
20170612|2.4622168422972352e-05|2.7881208551893616e-05
20170613|2.418991307866591e-05|2.8293368013719367e-05
20170614|2.4971088552097782e-05|2.6848845421206475e-05
20170615|2.7855874414271025e-05|2.7959008790224724e-05
20170616|2.615447297349831e-05|2.894052142931398e-05
20170619|2.486172730425349e-05|2.8408138868265865e-05
20170620|2.5073269631043772e-05|2.7879909843943522e-05
20170621|2.4670199653790194e-05|2.8364704733979833e-05
20170622|2.0440013459039416e-05|3.591993239336264e-05
20170623|1.9700261032081466e-05|2.7078754808635117e-05
20170626|1.8992881024168466e-05|2.6830050089282547e-05
20170627|1.811431756174332e-05|2.6069951212377708e-05
20170628|1.9946564995025854e-05|2.6806801957712203e-05
20170629|2.088962457331221e-05|2.503648802065784e-05
20170630|2.0508050747874057e-05|2.4859015040684444e-05
20170703|2.021487974778447e-05|2.4356540430742104e-05
20170704|2.0550492148878764e-05|2.340501411337957e-05
20170705|1.7941611458847598e-05|2.808845527719178e-05
20170706|1.7675299040025997e-05|2.3691964090865593e-05
20170707|2.1186104886090478e-05|2.350724155338757e-05
20170710|2.103379431933559e-05|2.365916879345349e-05
20170711|2.0298086819857423e-05|2.3509837798106025e-05
20170712|1.9596268280281715e-05|2.2710203419569794e-05
