DATE|Actual Value|Prediction Value
20170117|2.7817411886565983e-05|3.583437158065764e-05
20170118|2.7316942749618586e-05|3.619013561486962e-05
20170119|2.6426513591680636e-05|3.524098118063526e-05
20170120|2.544066684736144e-05|3.428139805820792e-05
20170123|2.5451575911392263e-05|3.0293050190291928e-05
20170124|2.415084818159237e-05|3.299523232684666e-05
20170125|2.3570536882413777e-05|2.984029491806544e-05
20170126|2.3351097479901254e-05|3.060209771037222e-05
20170131|2.3214424260769093e-05|3.12494850142109e-05
20170201|2.2916983849893003e-05|3.227513810728041e-05
20170202|2.3534727400532513e-05|2.736506040445896e-05
20170203|2.3794119069308713e-05|2.925119723919845e-05
20170206|2.3937526452618998e-05|3.0295853692133363e-05
20170207|2.352230198468838e-05|3.302759132899687e-05
20170208|2.3412595794555668e-05|3.2710808170505774e-05
20170209|2.2685099379571457e-05|3.283722088513129e-05
20170210|2.448559756954964e-05|3.491598995804642e-05
20170213|2.3767190985344508e-05|3.073642028464949e-05
20170214|2.414099998117604e-05|2.8685532059755172e-05
20170215|2.3678711125980207e-05|2.9093158249030546e-05
20170216|2.3931195268588352e-05|2.95019208823392e-05
20170217|2.3801873596400465e-05|2.9044572531879404e-05
20170220|2.321530530683589e-05|3.084101909104163e-05
20170221|2.359393212094911e-05|2.965935324681712e-05
20170222|2.3545686647195343e-05|3.142888012901958e-05
20170223|2.3782813307846953e-05|2.9926149458163437e-05
20170224|2.4491047076645496e-05|2.985543177084389e-05
20170227|2.4564945458477937e-05|3.066099516647648e-05
20170228|2.3769769044057998e-05|3.2220359659350885e-05
20170302|2.3778878696207703e-05|3.209023124775063e-05
20170303|2.3308909693503e-05|3.299818729225105e-05
20170306|2.323820775095073e-05|3.457405774198415e-05
20170307|2.2822110367590727e-05|3.358788673102697e-05
20170308|2.2543595368132305e-05|3.2088532523177954e-05
20170309|2.2632669077554885e-05|3.0432522609930645e-05
20170310|2.294775867280315e-05|2.9119480307936727e-05
20170313|2.095384055967838e-05|3.774181651917741e-05
20170314|2.122691198610989e-05|3.056664385872808e-05
20170315|2.089265848959156e-05|3.091788710871546e-05
20170316|2.0778867617655614e-05|3.1954730591029914e-05
20170317|2.0236851881664586e-05|3.279099659316893e-05
20170320|2.016802850943426e-05|2.8137191977673076e-05
20170321|2.069459573094993e-05|2.636806837186536e-05
20170322|2.0394252256390894e-05|2.9109266455011313e-05
20170323|2.067376543210151e-05|2.9299893485032114e-05
20170324|2.0751377812659547e-05|2.7852620495872992e-05
20170327|2.0261705696219886e-05|2.8617625418915777e-05
20170328|1.9838942699870137e-05|3.499051645556933e-05
20170329|2.0168822290039185e-05|3.1648313188062086e-05
20170330|1.999692211830778e-05|3.184702311372445e-05
20170331|2.08120098218389e-05|3.211168145705494e-05
20170403|2.1148690385368006e-05|3.052207391231518e-05
20170404|2.1878036205407937e-05|2.8562338108658853e-05
20170405|2.2078268580429484e-05|2.9841885042636056e-05
20170406|2.2725269684098292e-05|2.9517743730924494e-05
20170407|3.0449453769213298e-05|2.7146216169614826e-05
20170410|3.214790105446371e-05|2.7791795106386596e-05
20170411|3.2573788360959306e-05|3.553291180982491e-05
20170412|3.368977692939709e-05|3.068274211632147e-05
20170413|3.527110977727099e-05|2.7844380115696416e-05
20170414|3.6261746940007686e-05|2.8478123640063744e-05
20170417|3.708771287034353e-05|2.9185706741095953e-05
20170418|3.722731917851817e-05|2.791044020616776e-05
20170419|3.7801297380939785e-05|2.702552177014111e-05
20170420|3.819579205750186e-05|3.1349601322523954e-05
20170421|3.7801265709976306e-05|3.1130103763757605e-05
20170424|3.838004250198721e-05|3.0463501021628407e-05
20170425|3.937568950401535e-05|3.2997009639593895e-05
20170426|4.010372023349681e-05|3.2617260688239715e-05
20170427|4.1816750067797e-05|2.7293361739371545e-05
20170428|4.168275983837766e-05|3.159836078369482e-05
20170502|4.220179138579555e-05|3.365829925525119e-05
20170504|4.195343769646322e-05|3.115266367779192e-05
20170508|4.222068525677856e-05|2.8464515391682254e-05
20170510|4.148197341938136e-05|2.8857109933566453e-05
20170511|3.396595467550073e-05|3.273380478452382e-05
20170512|3.2075348187451324e-05|2.9792962926873867e-05
20170515|3.169985054811798e-05|3.078195792458554e-05
20170516|3.0480905093081892e-05|3.158841306033284e-05
20170517|2.934895478132775e-05|3.1103207964166216e-05
20170518|2.900789278092441e-05|3.32306506735633e-05
20170519|2.8805733027766012e-05|3.1256744419334715e-05
20170522|2.865156113259798e-05|3.0174861094803165e-05
20170523|2.819596797441923e-05|2.877659956559824e-05
20170524|2.822882302048446e-05|2.975369884551764e-05
20170525|2.8531393084925458e-05|3.0377183923201306e-05
20170526|2.8130942391407972e-05|3.1355394179606396e-05
20170529|2.743552366439047e-05|3.1349720167018726e-05
20170530|2.6714796028297137e-05|3.0429680620990618e-05
20170531|2.5067087499783954e-05|3.0951952613524246e-05
20170601|2.4263198407953544e-05|3.0672744704149225e-05
20170602|2.3032376174587227e-05|3.3740487626429075e-05
20170605|2.265312513369781e-05|3.163744277649273e-05
20170607|2.28999411124477e-05|3.248414099421793e-05
20170608|2.285938299610131e-05|3.447085027464411e-05
20170609|2.2354352729205043e-05|3.507846560371055e-05
20170612|2.217291412479474e-05|3.113959824070169e-05
20170613|2.1981998105082967e-05|2.9354594875251405e-05
20170614|2.1882366164940415e-05|3.463533353932036e-05
20170615|2.17152028716622e-05|3.1780891677943814e-05
20170616|2.1887222409886138e-05|2.93351996165278e-05
20170619|2.127582059888554e-05|2.9473389222747515e-05
20170620|2.1009041540380868e-05|3.1198721768513516e-05
20170621|2.053866109698638e-05|3.083574386609338e-05
20170622|1.988260251034021e-05|3.3899860524026285e-05
20170623|1.9357271238344466e-05|3.069938716585021e-05
20170626|1.903033686831993e-05|2.8892580008650484e-05
20170627|1.866490202592412e-05|3.029511660154601e-05
20170628|1.8603977258980328e-05|2.934263802980874e-05
20170629|1.9407836314008882e-05|2.777857963059385e-05
20170630|2.008239609941044e-05|2.9783329189036076e-05
20170703|2.1483880900186096e-05|2.9392688927163787e-05
20170704|2.2421657244645292e-05|3.084191916231146e-05
20170705|2.296515989754948e-05|3.466018797557379e-05
20170706|2.3047577136427775e-05|3.302030348758099e-05
20170707|2.641540947209206e-05|3.114582700983669e-05
20170710|2.7865237408357582e-05|3.0162823276227698e-05
20170711|2.846162703825965e-05|3.206975645923208e-05
20170712|3.0252637054224637e-05|3.2920113810231296e-05
20170713|3.0975103128069216e-05|2.8138096756385795e-05
20170714|3.1966175992177346e-05|3.1215426272058286e-05
20170717|3.53367848853282e-05|2.655090600537256e-05
20170718|3.645271892863421e-05|2.9918446811802303e-05
20170719|3.70355014144013e-05|2.813001757016246e-05
20170720|3.7011021642908496e-05|2.818304812637089e-05
20170721|3.758296186465104e-05|2.8608554550183847e-05
20170724|3.755603311793384e-05|2.770639334617709e-05
20170725|3.80162878406341e-05|2.651671195543621e-05
20170726|3.800008421833739e-05|2.9283561447793744e-05
20170727|3.7236169735456675e-05|3.33172990132744e-05
20170728|3.725863329750357e-05|3.438831405122364e-05
20170731|3.612105039934976e-05|3.373274656368196e-05
20170801|3.6605012693049376e-05|3.283575636645368e-05
20170802|3.5301493551385165e-05|3.3703648944114956e-05
20170803|3.5273709931559495e-05|3.188013672136928e-05
20170804|3.223822912143491e-05|3.0760393152685893e-05
20170807|3.234847696845474e-05|2.8341738628828984e-05
20170808|3.202138099992384e-05|2.6090427799996378e-05
20170809|3.0342538306634865e-05|2.8665708906618873e-05
20170810|2.9705454988049875e-05|2.7882007278263744e-05
20170811|2.78235019475163e-05|3.740563630716802e-05
20170814|2.4878766793708713e-05|3.294764151602356e-05
20170816|2.3921542134095944e-05|2.8323734714434592e-05
20170817|2.4136466396769516e-05|2.5738373030862676e-05
20170818|2.4650309885661212e-05|2.853425418850722e-05
20170821|2.471310401743233e-05|2.9593293216700377e-05
20170822|2.486268369618884e-05|2.6535267451255854e-05
20170823|2.4842348494493368e-05|2.7860115896629852e-05
20170824|2.6057351808245813e-05|2.9209387540515718e-05
20170825|2.6524700172343148e-05|2.8105218278021732e-05
20170828|2.70793621472194e-05|2.905611272417729e-05
20170829|2.700634413356837e-05|2.7755257890669673e-05
20170830|2.6377490736194944e-05|2.7936279221027703e-05
20170831|2.716268167647804e-05|3.0849158839105425e-05
20170901|2.7923213078479316e-05|3.097167768562592e-05
20170904|2.7954465266808093e-05|2.9801722011535376e-05
20170905|2.674922476974808e-05|3.1488316279216746e-05
20170906|2.659762067691708e-05|2.9819804959498478e-05
20170907|2.7059042452317696e-05|3.117644863133372e-05
20170908|2.7358987335434376e-05|2.9640477929745154e-05
20170911|2.7967916481207794e-05|3.0255438965740185e-05
20170912|2.8052053697509535e-05|3.177299991349769e-05
20170913|2.8549429799084734e-05|2.930064697814507e-05
20170914|2.8722430260715494e-05|2.939842797829579e-05
20170915|2.8445037309394485e-05|3.033049364877207e-05
20170918|2.8662045131563984e-05|3.53545187735466e-05
20170919|2.8651994544497542e-05|3.469212076473401e-05
20170920|2.9089305432836357e-05|3.636529421821795e-05
20170921|2.841588830820925e-05|3.5064796747001466e-05
20170922|2.8518358868886136e-05|3.4781571243834493e-05
20170925|2.7521375795888023e-05|3.452701900780402e-05
20170926|2.7757513668815313e-05|3.3161232248806365e-05
20170927|2.7664859021751926e-05|3.0149486166826414e-05
20170928|2.7654641384139027e-05|3.0438670119239388e-05
20170929|2.76088071810209e-05|2.881553648770146e-05
20171010|2.852058926551326e-05|2.5351062673521546e-05
20171011|2.9989293915003304e-05|2.7488333232347435e-05
20171012|3.081878093251391e-05|2.9630088457895952e-05
20171013|3.144882015637886e-05|2.8827997670531194e-05
20171016|3.1810033889339985e-05|3.058508111588818e-05
20171017|3.1978149091582604e-05|2.9201239567118232e-05
20171018|3.2156248749185314e-05|2.853716953736627e-05
20171019|3.276552293020498e-05|2.8020667240198497e-05
